TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14H
2020-02-04 16:45:20.957452,34.0,30.0,29.0,44.0,27.0,38.0,25.0,46.0,32.0,33.0,28.0,34.0,26.0,40.0,27.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:45:27.257562,34.0,29.0,29.0,44.0,27.0,38.0,25.0,46.0,32.0,33.0,29.0,35.0,26.0,39.0,27.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:45:36.100376,34.0,29.0,29.0,43.0,27.0,37.0,25.0,46.0,32.0,32.0,29.0,35.0,26.0,39.0,27.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:45:44.935865,34.0,29.0,29.0,43.0,27.0,37.0,25.0,46.0,32.0,32.0,29.0,35.0,26.0,39.0,27.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:45:53.798992,34.0,28.0,29.0,43.0,27.0,37.0,25.0,46.0,32.0,32.0,29.0,35.0,27.0,39.0,27.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:46:02.688185,34.0,28.0,29.0,43.0,27.0,37.0,25.0,46.0,32.0,32.0,29.0,35.0,27.0,39.0,27.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:46:14.046379,34.0,28.0,29.0,43.0,28.0,38.0,25.0,46.0,32.0,32.0,29.0,35.0,27.0,39.0,27.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:46:20.351870,34.0,27.0,29.0,43.0,28.0,38.0,25.0,46.0,32.0,32.0,29.0,34.0,27.0,39.0,27.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:46:31.728267,34.0,27.0,29.0,43.0,28.0,38.0,25.0,47.0,33.0,33.0,29.0,34.0,27.0,39.0,27.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:46:40.564046,35.0,27.0,29.0,43.0,28.0,38.0,25.0,46.0,33.0,33.0,29.0,34.0,27.0,39.0,27.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:46:49.395048,35.0,26.0,29.0,43.0,28.0,38.0,25.0,46.0,33.0,34.0,29.0,34.0,27.0,39.0,27.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:46:55.676189,35.0,26.0,29.0,43.0,28.0,38.0,25.0,46.0,33.0,34.0,29.0,34.0,27.0,39.0,27.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:47:07.043293,35.0,26.0,29.0,43.0,28.0,38.0,25.0,46.0,33.0,34.0,29.0,34.0,27.0,38.0,27.0,40.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:47:15.872754,35.0,26.0,29.0,42.0,28.0,38.0,25.0,46.0,33.0,34.0,29.0,34.0,27.0,39.0,27.0,40.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:47:22.220865,35.0,26.0,29.0,43.0,28.0,38.0,25.0,46.0,33.0,34.0,29.0,33.0,27.0,38.0,27.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:47:36.117360,35.0,25.0,29.0,42.0,28.0,35.0,25.0,46.0,33.0,34.0,29.0,33.0,27.0,39.0,27.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:47:52.521713,35.0,25.0,29.0,43.0,28.0,35.0,25.0,46.0,33.0,34.0,30.0,33.0,27.0,38.0,27.0,40.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:48:11.456488,35.0,25.0,29.0,42.0,28.0,35.0,25.0,46.0,33.0,34.0,30.0,33.0,27.0,38.0,27.0,40.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:48:17.771024,36.0,25.0,29.0,42.0,28.0,37.0,25.0,46.0,33.0,34.0,30.0,33.0,27.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:48:26.600497,36.0,25.0,29.0,42.0,28.0,37.0,25.0,46.0,33.0,34.0,30.0,33.0,27.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:48:32.896833,36.0,25.0,29.0,42.0,28.0,37.0,25.0,46.0,33.0,34.0,30.0,33.0,27.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:48:39.198272,36.0,25.0,29.0,42.0,28.0,37.0,25.0,46.0,33.0,33.0,30.0,33.0,27.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:48:48.038637,36.0,25.0,29.0,42.0,28.0,37.0,25.0,46.0,33.0,33.0,30.0,33.0,27.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:48:54.335754,36.0,25.0,30.0,42.0,28.0,37.0,25.0,46.0,33.0,33.0,30.0,33.0,27.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
